CFTR,CHMP3,0.4
CFTR,ITPR1,0.4
CFTR,CHMP4A,0.4
CFTR,CHMP6,0.4
CFTR,CHMP4C,0.401
CFTR,IL13,0.401
CFTR,BRCA1,0.405
CFTR,EGFR,0.408
CFTR,CHMP2A,0.411
CFTR,HGS,0.416
CFTR,SRC,0.416
CFTR,MUC2,0.421
CFTR,KRAS,0.425
CFTR,MYO6,0.426
CFTR,AQP3,0.428
CFTR,PSMD10,0.43
CFTR,VIM,0.432
CFTR,RUNX2,0.434
CFTR,USP19,0.435
CFTR,TP53,0.438
CFTR,TF,0.439
CFTR,ATP7B,0.439
CFTR,PLIN3,0.44
CFTR,NTRK1,0.452
CFTR,CLDN2,0.453
CFTR,PIKFYVE,0.453
CFTR,GAPDH,0.455
CFTR,FBXO2,0.456
CFTR,RACK1,0.459
CFTR,PSMD14,0.46
CFTR,TLR4,0.462
CFTR,MVP,0.467
CFTR,IL10,0.47
CFTR,SCARB2,0.473
CFTR,UBB,0.477
CFTR,IL6,0.481
CFTR,TNF,0.487
CFTR,UBA52,0.487
CFTR,ARRB1,0.488
CFTR,HSPA1B,0.495
CFTR,PARK7,0.511
CFTR,UBC,0.511
CFTR,IL1B,0.514
CFTR,DYNC1LI2,0.516
CFTR,CASR,0.517
CFTR,ACE2,0.518
CFTR,PICALM,0.526
CFTR,SNCA,0.527
CFTR,AQP5,0.53
CFTR,LDLR,0.531
CFTR,AP2M1,0.536
CFTR,CXCL8,0.536
CFTR,HTT,0.54
CFTR,HSF1,0.549
CFTR,HSPA5,0.559
CFTR,VAMP3,0.559
CFTR,VAMP8,0.564
CFTR,WNK1,0.568
CFTR,WNK4,0.57
CFTR,ERLIN2,0.572
CFTR,ABCB1,0.572
CFTR,VAMP7,0.573
CFTR,CTNNB1,0.581
CFTR,CAPN1,0.583
CFTR,ERLIN1,0.586
CFTR,TFRC,0.59
CFTR,SERPINA1,0.59
CFTR,UBQLN2,0.591
CFTR,CHMP4B,0.596
CFTR,MUC5AC,0.602
CFTR,SGK1,0.605
CFTR,BAG1,0.605
CFTR,NEDD4,0.606
CFTR,EMD,0.608
CFTR,SQSTM1,0.608
CFTR,UBE2I,0.618
CFTR,CD4,0.622
CFTR,CDH1,0.626
CFTR,RAB5A,0.657
CFTR,TARDBP,0.693
CFTR,RAB11A,0.709
CFTR,RNF185,0.738
CFTR,KRT8,0.752
CFTR,NEDD4L,0.764
CFTR,HSPB1,0.78
CFTR,EZR,0.898
CFTR,PRKAA2,0.907
CFTR,DERL1,0.917
CFTR,YWHAZ,0.917
CFTR,PRKAG1,0.922
CFTR,CANX,0.936
CFTR,VCP,0.938
CFTR,STUB1,0.97
CFTR,RNF5,0.979
CFTR,HSP90AA1,0.986
CFTR,SLC9A3R1,0.999
CHMP3,CHMP4B,0.998
CHMP3,PLIN3,0.447
CHMP3,CHMP5,0.997
CHMP3,VPS4B,0.978
CHMP3,VPS4A,0.989
CHMP3,TM9SF1,0.644
CHMP3,RAB11A,0.484
CHMP3,PARK7,0.404
CHMP3,RAB5A,0.407
CHMP3,PLK1,0.412
CHMP3,PIKFYVE,0.449
CHMP3,VCP,0.454
CHMP3,DAXX,0.457
CHMP3,UBA52,0.51
CHMP3,UBB,0.511
CHMP3,UBC,0.519
CHMP3,NEDD4L,0.59
CHMP3,USP8,0.709
CHMP3,MLKL,0.945
CHMP3,STAM,0.962
CHMP3,HGS,0.976
CHMP3,CHMP4C,0.982
CHMP3,CHMP1A,0.998
CHMP3,CHMP4A,0.999
CHMP3,CHMP6,0.999
CHMP3,CHMP2A,0.999
CHMP3,CHMP1B,0.999
ITPR1,XBP1,0.512
ITPR1,CANX,0.843
ITPR1,LGALS3,0.474
ITPR1,SNAP25,0.606
ITPR1,TRPC5,0.631
ITPR1,MCOLN1,0.428
ITPR1,HDAC4,0.547
ITPR1,STAT3,0.548
ITPR1,PML,0.514
ITPR1,TP53,0.519
ITPR1,SIGMAR1,0.938
ITPR1,GJA1,0.702
ITPR1,HSPA9,0.995
ITPR1,PHB,0.402
ITPR1,AGT,0.405
ITPR1,SRC,0.413
ITPR1,CAMKK2,0.415
ITPR1,PRKCD,0.42
ITPR1,GAPDH,0.421
ITPR1,TRPV1,0.445
ITPR1,CASR,0.446
ITPR1,VDAC3,0.45
ITPR1,CASP3,0.451
ITPR1,DNM1L,0.455
ITPR1,DDIT3,0.465
ITPR1,HERPUD1,0.485
ITPR1,HSP90AA1,0.496
ITPR1,GSK3B,0.507
ITPR1,TRPM2,0.51
ITPR1,MFN1,0.541
ITPR1,TRPM7,0.542
ITPR1,VCP,0.545
ITPR1,RACK1,0.554
ITPR1,LYN,0.559
ITPR1,BDNF,0.569
ITPR1,HAP1,0.583
ITPR1,PTEN,0.588
ITPR1,VAPB,0.606
ITPR1,GRB2,0.61
ITPR1,BTK,0.621
ITPR1,CAV1,0.642
ITPR1,TMBIM6,0.655
ITPR1,TRPC6,0.703
ITPR1,ERLIN1,0.715
ITPR1,TRPC4,0.728
ITPR1,MCL1,0.75
ITPR1,PARK7,0.761
ITPR1,HSPA5,0.782
ITPR1,MFN2,0.79
ITPR1,BRCA1,0.822
ITPR1,CALR,0.834
ITPR1,BCL2L1,0.856
ITPR1,KAT5,0.907
ITPR1,PLCE1,0.922
ITPR1,ERLIN2,0.924
ITPR1,PSEN1,0.94
ITPR1,PSEN2,0.954
ITPR1,TRPC1,0.984
ITPR1,HTT,0.995
ITPR1,BCL2,0.996
ITPR1,ATXN2,0.996
ITPR1,VDAC1,0.996
ITPR1,ATXN3,0.996
CHMP4A,CHMP4B,0.946
CHMP4A,PLIN3,0.413
CHMP4A,CHMP5,0.871
CHMP4A,VPS4B,0.975
CHMP4A,VPS4A,0.986
CHMP4A,EGFR,0.433
CHMP4A,CHMP4C,0.926
CHMP4A,PLK1,0.46
CHMP4A,MLKL,0.909
CHMP4A,CHMP6,0.998
CHMP4A,HGS,0.955
CHMP4A,PARK7,0.435
CHMP4A,SRC,0.464
CHMP4A,STAM,0.973
CHMP4A,CHMP1A,0.983
CHMP4A,NEDD4L,0.607
CHMP4A,UBA52,0.507
CHMP4A,NEDD4,0.478
CHMP4A,CHMP1B,0.971
CHMP4A,UBC,0.502
CHMP4A,CHMP2A,0.999
CHMP4A,UBB,0.501
CHMP6,AURKA,0.439
CHMP6,CHMP4B,0.995
CHMP6,PLIN3,0.405
CHMP6,CHMP5,0.997
CHMP6,VPS4B,0.995
CHMP6,VPS4A,0.999
CHMP6,KRAS,0.426
CHMP6,TM9SF1,0.575
CHMP6,RAB5A,0.426
CHMP6,CHMP4C,0.941
CHMP6,MLKL,0.906
CHMP6,TFRC,0.4
CHMP6,PARK7,0.405
CHMP6,NEDD4,0.412
CHMP6,UBA52,0.499
CHMP6,UBB,0.499
CHMP6,UBC,0.508
CHMP6,NEDD4L,0.63
CHMP6,HRAS,0.653
CHMP6,USP8,0.698
CHMP6,STAM,0.964
CHMP6,HGS,0.978
CHMP6,CHMP1B,0.99
CHMP6,CHMP1A,0.993
CHMP6,CHMP2A,0.999
CHMP4C,CHMP4B,0.973
CHMP4C,PLIN3,0.405
CHMP4C,CHMP5,0.992
CHMP4C,VPS4B,0.987
CHMP4C,VPS4A,0.988
CHMP4C,TM9SF1,0.457
CHMP4C,NPM1,0.415
CHMP4C,PARK7,0.4
CHMP4C,RAB5C,0.407
CHMP4C,GAPDH,0.414
CHMP4C,ANXA2,0.444
CHMP4C,UBB,0.499
CHMP4C,UBC,0.499
CHMP4C,UBA52,0.504
CHMP4C,NEDD4L,0.567
CHMP4C,AURKB,0.682
CHMP4C,USP8,0.735
CHMP4C,HGS,0.782
CHMP4C,STAM,0.796
CHMP4C,MLKL,0.942
CHMP4C,CHMP1B,0.968
CHMP4C,CHMP1A,0.986
CHMP4C,CHMP2A,0.99
IL13,CX3CL1,0.641
IL13,CD4,0.931
IL13,TNFRSF1A,0.66
IL13,MIF,0.448
IL13,HMOX1,0.855
IL13,NFKBIA,0.477
IL13,MMP2,0.616
IL13,TGFB1,0.816
IL13,HGF,0.655
IL13,CCL2,0.932
IL13,SPI1,0.436
IL13,IL4,0.993
IL13,TNFSF10,0.412
IL13,IRF1,0.629
IL13,APOE,0.636
IL13,LGALS3,0.443
IL13,TLR2,0.702
IL13,MMP13,0.579
IL13,CDH1,0.435
IL13,ARG2,0.663
IL13,SMAD7,0.481
IL13,SMAD2,0.403
IL13,IL1B,0.953
